date,pizza,burger,sushi,pasta,salad,steak,tacos,sandwich,noodles,omelette,burrito,risotto,dumplings,ravioli,lasagna,paella,curry,falafel,quiche,wrap,gyros,shawarma,bruschetta,calzone,fajitas,enchiladas,gnocchi,meatballs,wings,pancakes,waffles,crepes,donuts,tiramisu,cheesecake,brownie,bread,apple,banana,orange,grape,strawberry,blueberry,pineapple,kiwi,mango,pear,bread,milk,eggs,butter,cheese,yogurt,chicken,beef,pork,fish,rice,pasta,vegetables,fruits,cereal,sugar,salt,pepper,olive oil,vinegar,total,hour,is_holiday
2024-11-04 07:00:00,14,5,5,7,23,18,6,13,31,6,8,12,19,12,18,12,39,3,6,27,20,28,9,5,5,6,27,17,15,5,1,2,15,11,20,11,8,60,7,26,13,42,16,23,11,36,4,29,51,15,21,25,3,26,7,4,53,40,29,6,21,4,48,29,37,16,21,1212,7,0
2024-11-04 08:00:00,14,6,5,8,19,17,5,13,30,6,7,14,16,12,14,13,39,3,7,23,19,31,11,4,5,4,31,14,12,5,1,2,13,12,19,10,7,61,8,29,12,39,15,22,12,37,4,26,48,13,19,24,3,24,7,4,47,34,30,6,22,3,44,29,33,13,21,1160,8,0
2024-11-04 09:00:00,14,6,5,9,18,17,5,14,28,7,7,19,17,14,17,15,39,4,9,25,25,29,12,5,5,5,35,12,12,5,1,2,17,13,19,12,7,63,8,29,12,38,15,21,12,37,4,28,44,14,19,24,3,23,7,4,45,32,33,5,20,3,41,29,32,13,19,1182,9,0
2024-11-04 10:00:00,17,7,7,10,18,17,7,15,29,8,8,37,17,18,22,17,45,4,15,25,29,35,13,7,6,5,48,14,12,5,1,3,21,37,33,13,7,64,9,27,13,36,15,21,12,37,4,29,46,14,19,24,3,23,7,4,43,33,41,5,21,4,43,28,31,13,22,1323,10,0
2024-11-04 11:00:00,17,8,7,11,20,19,8,16,31,9,9,26,17,19,20,19,43,5,11,29,28,39,12,7,7,6,48,16,15,6,2,2,26,15,20,13,8,64,9,25,14,35,16,23,12,39,4,32,47,16,20,27,3,24,8,4,46,32,44,6,22,4,44,30,33,15,23,1335,11,0
2024-11-04 12:00:00,16,8,6,11,21,20,7,18,32,8,10,20,19,18,24,19,43,4,9,30,28,44,12,8,7,6,41,19,15,7,3,2,34,15,22,14,10,62,11,26,14,40,18,23,13,37,5,37,48,19,23,30,3,28,8,4,49,35,45,7,22,5,50,32,39,15,26,1404,12,0
2024-11-04 13:00:00,17,7,6,10,21,21,8,18,34,8,12,15,20,15,27,18,42,4,9,32,26,42,13,7,8,8,36,22,17,7,3,3,41,15,23,17,11,67,11,27,16,42,20,24,14,35,6,41,49,20,26,37,4,30,9,5,51,35,38,7,23,5,54,35,42,15,24,1455,13,0
2024-11-04 14:00:00,19,7,6,11,25,24,11,21,34,8,16,17,24,16,32,17,45,4,11,35,26,45,14,7,9,10,37,28,20,9,3,3,43,15,24,18,12,74,11,29,17,48,23,28,13,35,8,45,51,24,27,37,4,33,10,5,53,38,42,7,23,6,60,39,45,17,27,1585,14,0
2024-11-04 15:00:00,24,9,7,12,30,29,15,23,41,8,18,21,29,20,38,19,53,5,13,38,34,50,17,8,12,15,46,35,23,9,4,4,47,17,30,18,13,77,12,30,21,50,24,30,13,37,9,51,54,25,30,47,5,40,12,7,60,42,49,8,23,7,64,45,49,17,30,1802,15,0
2024-11-04 16:00:00,30,10,10,15,36,33,20,27,48,10,25,30,36,23,46,21,59,6,18,42,41,55,21,10,15,19,63,44,27,8,4,5,46,16,31,21,14,79,11,32,18,52,24,30,13,38,10,55,56,25,31,51,5,49,14,8,62,46,59,8,23,7,65,47,57,19,32,2011,16,0
2024-11-04 17:00:00,36,11,11,16,44,39,24,30,56,13,27,41,39,27,49,25,69,7,25,44,49,62,26,14,20,21,71,51,31,8,4,5,46,18,36,23,16,80,12,33,22,56,25,32,13,39,10,62,57,26,36,60,5,57,15,9,66,51,62,8,22,7,69,49,64,21,37,2239,17,0
2024-11-04 18:00:00,35,12,11,16,42,41,25,31,57,13,25,39,41,30,53,27,68,6,19,44,42,63,23,15,19,21,64,49,32,7,4,5,43,17,38,24,16,84,12,32,22,57,25,34,13,42,10,62,55,27,38,57,5,58,16,8,65,52,62,8,22,8,69,51,64,21,36,2232,18,0
2024-11-04 19:00:00,37,11,11,14,41,43,25,32,53,10,26,26,41,26,53,24,60,6,13,47,36,59,21,12,19,23,58,50,33,7,4,4,45,18,39,24,16,84,13,32,24,61,26,35,13,44,10,60,54,25,36,58,5,58,16,9,66,52,55,8,21,9,69,52,64,21,36,2183,19,0
2024-11-04 20:00:00,35,11,11,15,41,46,26,31,60,7,27,19,44,26,58,23,58,5,10,48,33,56,19,15,19,25,49,63,36,8,5,4,46,17,43,26,17,87,13,33,23,68,27,38,15,47,10,65,61,29,40,64,6,62,17,11,70,57,58,8,20,9,73,52,74,23,39,2281,20,0
2024-11-04 21:00:00,40,11,11,14,46,55,28,30,67,7,26,17,52,32,68,21,59,6,10,51,31,61,19,14,22,32,49,78,41,8,5,4,49,15,47,27,18,91,13,30,25,72,30,41,14,49,10,70,61,28,41,70,6,76,20,13,71,65,53,9,22,9,78,56,75,24,43,2436,21,0
2024-11-04 22:00:00,49,12,13,17,58,76,32,33,80,6,30,17,62,33,81,19,70,5,10,52,33,73,18,19,26,36,51,93,51,9,5,4,50,13,54,25,20,92,14,31,27,77,31,45,13,43,9,79,66,33,48,82,6,95,24,18,86,79,67,9,22,10,81,61,83,31,48,2745,22,0
2024-11-04 23:00:00,54,12,13,16,61,77,35,33,90,6,33,15,63,31,85,17,73,5,9,51,31,74,21,17,25,38,50,94,57,8,6,4,54,13,54,24,21,86,15,30,30,78,33,47,13,35,8,80,69,37,51,83,7,100,25,17,83,85,63,10,24,10,85,58,88,34,51,2805,23,0
2024-11-05 00:00:00,46,11,11,14,57,69,33,32,81,6,29,12,55,26,69,14,70,5,8,49,29,64,17,14,21,37,41,80,52,8,5,3,50,14,51,24,21,87,15,27,27,82,31,48,12,30,8,82,72,34,51,77,6,83,21,15,83,76,54,10,24,11,84,58,80,28,49,2593,0,0
2024-11-05 01:00:00,36,9,10,12,51,58,31,31,69,7,27,10,49,23,54,13,72,4,7,47,22,62,15,11,15,30,30,61,46,7,5,3,47,11,49,22,18,81,15,25,27,80,30,47,12,27,7,71,73,33,46,71,6,68,18,12,77,77,47,9,24,11,83,58,73,28,46,2356,1,0
2024-11-05 02:00:00,30,8,9,9,42,51,26,27,64,6,23,8,38,17,45,11,73,4,5,47,16,50,13,10,11,23,24,49,38,6,4,2,45,10,44,19,17,83,13,24,25,83,30,45,11,27,7,66,71,29,44,61,6,57,15,10,79,65,37,9,23,11,83,53,66,24,41,2122,2,0
2024-11-05 03:00:00,24,8,7,8,37,37,21,23,49,6,20,7,34,13,36,10,59,3,5,46,17,45,13,8,8,17,18,35,34,6,3,2,42,10,39,15,13,80,12,24,25,74,27,46,11,28,7,52,71,27,39,54,5,46,13,8,73,61,32,9,24,9,77,53,62,23,40,1890,3,0
2024-11-05 04:00:00,19,7,6,7,31,31,17,18,47,6,16,6,27,11,26,9,48,3,4,37,15,37,8,5,6,12,14,29,27,5,3,2,37,9,32,13,12,70,10,22,22,62,24,39,10,26,6,46,68,25,32,43,4,39,11,6,68,55,26,8,24,8,72,47,51,22,36,1624,4,0
2024-11-05 05:00:00,16,6,5,6,27,23,12,16,35,6,13,8,23,9,21,8,44,2,5,32,15,34,9,5,4,9,18,22,21,5,2,1,24,10,27,11,10,63,9,21,18,58,20,33,10,29,5,37,60,17,26,35,4,31,9,5,60,47,25,8,23,6,64,39,43,18,30,1397,5,0
2024-11-05 06:00:00,15,5,5,7,24,19,8,14,33,6,9,10,20,9,17,10,39,2,5,29,15,29,8,4,4,6,20,16,17,5,2,2,18,10,22,10,8,64,8,23,15,52,17,29,12,31,5,32,52,16,23,27,3,27,8,4,56,43,26,8,22,5,55,33,38,15,26,1257,6,0
2024-11-05 07:00:00,15,5,4,7,21,16,6,25,31,6,8,13,17,11,15,10,38,3,6,26,21,28,9,5,4,4,26,15,14,5,1,2,16,12,20,10,7,58,7,26,14,42,15,24,11,35,4,28,49,15,20,25,3,25,7,4,49,37,29,6,21,4,48,31,34,14,22,1189,7,0
2024-11-05 08:00:00,16,6,5,8,18,18,6,12,27,6,8,16,17,11,16,14,40,3,7,25,21,31,10,5,4,5,32,13,13,5,1,2,15,13,19,11,7,59,8,29,13,40,14,22,13,37,4,28,47,14,19,23,3,23,7,4,47,36,32,6,21,3,47,30,35,13,20,1183,8,0
2024-11-05 09:00:00,18,7,6,9,17,18,9,18,26,6,9,18,17,13,16,15,39,4,9,26,29,37,11,6,5,4,40,13,13,5,2,2,20,14,19,12,7,60,8,29,13,38,15,22,13,37,4,28,45,14,19,24,3,24,6,3,45,34,36,6,20,3,42,30,33,13,20,1226,9,0
2024-11-05 10:00:00,18,8,7,10,18,18,7,15,30,7,8,24,15,16,17,18,40,4,10,28,30,39,13,7,6,5,44,13,13,5,2,2,24,15,19,14,7,60,9,29,13,38,15,22,13,39,4,28,46,14,19,25,3,23,7,4,47,32,41,6,21,4,43,28,33,13,21,1276,10,0
2024-11-05 11:00:00,19,8,8,11,19,19,10,17,30,9,10,25,18,19,20,19,43,5,10,28,30,47,15,8,7,6,46,15,15,6,2,2,32,15,20,15,8,59,9,26,13,41,16,22,13,38,4,31,44,15,20,26,3,25,7,4,46,34,45,6,22,4,43,30,37,14,20,1353,11,0
2024-11-05 12:00:00,17,7,7,11,22,19,7,18,33,8,11,20,19,18,22,19,42,5,9,29,28,43,14,8,8,6,39,18,14,7,3,3,40,15,22,15,9,61,10,26,14,41,18,23,14,36,5,35,47,18,23,31,3,28,8,4,45,35,45,6,22,5,47,31,38,14,23,1391,12,0
2024-11-05 13:00:00,17,7,6,10,21,20,9,17,30,7,12,15,20,15,26,17,41,4,8,28,23,42,13,8,8,7,34,21,16,8,3,3,49,16,23,17,10,64,10,27,15,41,19,26,13,36,6,40,48,20,23,32,4,28,8,4,48,35,38,7,22,5,52,34,39,14,24,1413,13,0
2024-11-05 14:00:00,20,8,6,10,24,22,12,20,33,8,17,15,22,16,30,17,42,4,9,33,27,44,14,7,9,10,35,26,19,8,3,3,53,14,24,19,11,70,11,28,16,46,21,26,13,36,8,43,51,22,25,37,4,32,9,5,51,39,41,7,23,5,58,41,43,16,27,1548,14,0
2024-11-05 15:00:00,25,9,8,12,26,26,16,23,37,8,20,20,27,19,36,19,50,5,12,35,34,47,16,8,12,12,46,31,22,8,4,4,51,15,27,19,12,71,11,29,17,48,22,27,14,36,7,48,51,24,29,42,4,37,10,6,55,39,45,7,22,6,62,43,48,17,26,1704,15,0
2024-11-05 16:00:00,33,11,10,14,33,32,21,26,46,10,23,29,37,22,43,20,57,6,16,40,41,59,21,11,15,17,56,41,27,7,4,4,50,18,31,21,14,73,11,31,19,54,23,30,13,37,8,53,53,24,30,46,5,45,12,7,62,46,55,7,24,6,60,45,52,19,31,1947,16,0
