,date,pizza,burger,sushi,pasta,salad,steak,tacos,sandwich,noodles,omelette,burrito,risotto,dumplings,ravioli,lasagna,paella,curry,falafel,quiche,wrap,gyros,shawarma,bruschetta,calzone,fajitas,enchiladas,gnocchi,meatballs,wings,pancakes,waffles,crepes,donuts,tiramisu,cheesecake,brownie,bread,apple,banana,orange,grape,strawberry,blueberry,pineapple,kiwi,mango,pear,bread.1,milk,eggs,butter,cheese,yogurt,chicken,beef,pork,fish,rice,pasta.1,vegetables,fruits,cereal,sugar,salt,pepper,olive oil,vinegar,total,hour,is_holiday
0,2024-10-23 19:00:00,35,11,9,11,41,43,26,29,47,7,21,15,36,25,46,27,40,6,7,38,27,54,17,12,15,22,41,46,38,8,7,4,55,20,45,30,15,79,11,31,22,63,23,35,13,51,9,62,59,25,36,57,5,51,15,8,69,46,47,7,20,8,74,50,64,20,35,2071,19,0
1,2024-10-23 20:00:00,37,11,10,12,46,49,28,31,55,7,22,14,42,29,58,36,45,6,8,42,26,57,18,12,17,25,39,65,44,9,8,4,61,17,52,27,16,81,12,31,28,69,25,36,14,54,9,66,64,29,39,66,6,62,16,11,73,54,51,7,22,10,77,53,72,23,40,2285,20,0
2,2024-10-23 21:00:00,52,12,12,14,56,69,35,35,69,7,29,15,53,32,71,23,50,6,8,46,26,69,20,16,23,33,44,86,56,9,10,4,70,17,59,33,18,88,14,33,30,77,28,42,13,51,10,77,70,33,48,78,6,82,21,15,83,69,58,9,24,11,84,60,82,28,47,2658,21,0
3,2024-10-23 22:00:00,59,14,15,15,65,85,41,38,85,7,33,14,64,38,79,20,55,6,8,49,27,75,22,21,24,40,43,88,68,10,11,4,77,15,67,34,19,92,16,31,33,85,31,45,14,43,9,80,76,38,53,88,7,96,24,18,88,78,61,10,26,11,91,65,89,33,54,2920,22,0
4,2024-10-23 23:00:00,54,14,14,14,60,89,43,37,83,7,33,12,61,33,71,17,51,6,7,47,22,75,19,16,24,36,41,81,69,10,11,4,79,14,70,33,20,90,16,30,32,90,32,50,14,35,9,87,84,40,55,89,7,89,23,16,90,78,59,10,27,13,96,63,89,34,53,2877,23,0
5,2024-10-24 00:00:00,45,12,12,12,55,67,37,35,68,6,29,10,49,27,59,16,51,5,6,45,19,60,16,14,19,32,31,63,60,9,10,4,76,14,61,30,18,85,14,28,30,89,30,50,11,30,8,77,78,34,50,77,7,77,19,13,85,73,49,9,28,13,92,63,80,26,46,2553,0,0
6,2024-10-24 01:00:00,35,10,10,10,50,57,32,33,59,6,26,9,45,20,47,14,53,4,5,44,15,57,14,11,13,24,26,50,52,9,10,3,62,14,54,26,16,80,13,26,27,89,29,46,13,28,8,70,77,33,45,68,7,63,17,10,83,64,42,10,27,13,90,60,74,25,42,2304,1,0
7,2024-10-24 02:00:00,27,9,8,8,42,42,28,26,50,6,22,7,36,15,36,12,60,4,4,38,12,46,13,10,9,22,20,37,47,7,8,2,54,12,49,23,15,74,12,25,26,75,28,43,11,27,7,62,74,31,40,58,6,51,14,8,77,57,34,8,26,11,84,59,66,23,41,2024,2,0
8,2024-10-24 03:00:00,21,8,7,7,37,36,22,23,46,5,17,6,29,14,28,12,71,4,4,34,11,41,9,6,7,16,15,30,36,6,6,2,47,11,35,18,12,75,11,22,23,72,24,36,11,28,7,52,71,27,35,50,5,43,12,7,73,55,29,8,26,10,79,54,56,20,39,1799,3,0
9,2024-10-24 04:00:00,17,7,5,6,30,28,17,19,41,5,13,7,23,10,22,11,66,3,4,29,12,34,10,6,5,9,16,23,29,7,4,2,35,11,33,16,10,65,10,21,18,56,20,32,11,31,6,41,69,22,29,38,4,34,9,5,65,48,26,8,25,7,71,45,48,18,32,1539,4,0
10,2024-10-24 05:00:00,15,6,5,6,22,22,12,16,35,5,10,9,21,10,21,11,45,3,5,27,14,28,8,4,5,8,21,17,22,7,3,2,25,14,29,14,8,61,8,22,15,46,17,27,12,36,5,36,61,18,26,32,3,29,9,5,57,43,27,7,25,6,62,41,39,16,29,1355,5,0
11,2024-10-24 06:00:00,14,6,4,7,21,20,8,15,30,5,8,12,18,12,17,15,37,3,5,24,17,28,10,5,5,5,27,15,17,8,2,2,20,14,25,14,7,58,8,26,13,43,14,23,12,39,5,32,54,16,23,27,3,25,7,4,55,38,29,7,24,4,53,34,38,15,24,1255,6,0
12,2024-10-24 07:00:00,16,6,5,8,19,18,7,15,30,6,8,16,21,14,17,17,37,3,7,22,18,29,12,5,6,5,39,13,16,8,2,3,20,18,25,16,7,59,7,28,13,39,13,21,13,42,4,30,52,15,22,27,3,25,7,4,50,35,33,6,24,4,51,32,35,13,20,1261,7,0
13,2024-10-24 08:00:00,18,7,6,9,19,19,7,15,30,7,8,19,20,15,18,20,40,4,9,24,27,34,12,6,6,5,43,13,15,8,2,3,23,19,27,18,7,59,7,28,14,37,13,21,13,43,4,30,48,16,21,26,3,24,7,4,49,36,37,6,24,4,47,32,34,14,22,1305,8,0
